Nom_Hotel,Adresse,Nom_Suite,Services,Note,Nbr_Experiences,Periode,Date,Prix
Hotel Bristol,"Oslo City Centre, Oslo",Chambre Simple Standard,1 lit simple,"9,0",1 814 expériences vécues,"1 nuit, 1 adulte",,€ 252
Hotel Montebello,Oslo,Chambre simple avec Lit d'Appoint,2 lits simples,"6,8",541 expériences vécues,"1 nuit, 1 adulte",,€ 92
Grand Hotel,"Oslo City Centre, Oslo",Chambre Standard Lit Queen-Size,1 grand lit double,"8,1",1 937 expériences vécues,"1 nuit, 1 adulte",,€ 290
Private room in to roomsapartment (Grunneløkka),"Grünerløkka, Oslo",Chambre Lits Jumeaux,Hébergement géré par un particulier,"6,4",43 expériences vécues,"1 nuit, 1 adulte",,€ 69
Scandic Holberg,"Frogner, Oslo",Chambre Simple,1 lit simple,"7,3",1 849 expériences vécues,"1 nuit, 1 adulte",,€ 189
numa l Topp Apartments,"Frogner, Oslo",Studio - Accessible aux Personnes à Mobilité Réduite ,1 lit simple,"8,4",327 expériences vécues,"1 nuit, 1 adulte",,€ 157
Nice Apartment with 1 bedroom Separate living room with a sofa bed and a tiny kitchen and a bathroom located in Nordstrand near by the Sea for 3 guests for rent with a garden patio with gass grill and sea view,Oslo,Appartement 1 Chambre,Hébergement géré par un particulier,"7,1",52 expériences vécues,"1 nuit, 1 adulte",,€ 67
Karl Johan Hotel,"Oslo City Centre, Oslo",Chambre Simple Standard,1 lit simple,"8,7",4 765 expériences vécues,"1 nuit, 1 adulte",,€ 236
Oslo Grunerløkka Private Room,"Grünerløkka, Oslo",Chambre Double avec Salle de Bains Commune,Hébergement géré par un particulier,"8,3",38 expériences vécues,"1 nuit, 1 adulte",,€ 75
Forenom Serviced Apartments Oslo Royal Park,"Frogner, Oslo",Appartement Économique 1 Chambre (2 Personnes),2 lits simples,"7,3",834 expériences vécues,"1 nuit, 1 adulte",,€ 135
Amazing Studio by Royal Palace,"Frogner, Oslo",Appartement 1 Chambre,"3 lits (1 lit double, 2 canapés-lits)",,"1 nuit, 1 adulte",Taxes et frais compris,,€ 121€ 97-20 %
Thon Hotel Slottsparken,"Frogner, Oslo",Chambre Double Standard,1 lit double,"8,2",1 499 expériences vécues,"1 nuit, 1 adulte",,€ 194
Oslo Center,"Grünerløkka, Oslo",Appartement 1 Chambre,Hébergement géré par un particulier,"5,9",97 expériences vécues,"1 nuit, 1 adulte",,€ 110
Grünerløkka Apartment Rooms,"Grünerløkka, Oslo",Chambre Double,1 lit double,"6,5",17 expériences vécues,"1 nuit, 1 adulte",,€ 131€ 92-30 %
Scandic Grensen,"Oslo City Centre, Oslo",Chambre Double Économique,1 grand lit double,"7,6",1 303 expériences vécues,"1 nuit, 1 adulte",,€ 232
Modern and cozy studio apartment in central Oslo,"Grünerløkka, Oslo",Appartement 1 Chambre,"2 lits (1 lit simple, 1 canapé-lit)","7,5",4 expériences vécues,"1 nuit, 1 adulte",,€ 77
Frogner House - Skovveien 8,"Frogner, Oslo",Studio,1 lit simple,"8,2",1 074 expériences vécues,"1 nuit, 1 adulte",,€ 130
