Nom_Hotel,Adresse,Nom_Suite,Services,Note,Nbr_Experiences,Periode,Date,Prix
Philippos Hotel,"Koukaki, Athènes",Chambre Lits Jumeaux,2 lits simples,"8,4",352 expériences vécues,"1 nuit, 1 adulte",,€ 85
Wisdom Residence Luxury Apartments at Plaka,"Pláka, Athènes",Appartement Deluxe,4 lits simples,"8,4",168 expériences vécues,"1 nuit, 1 adulte",,"€ 187€ 145
-22 %"
City Centre Stylish rooms,"Athens City Centre, Athènes",Chambre Double ou Lits Jumeaux,Hébergement géré par un particulier,"6,9",918 expériences vécues,"1 nuit, 1 adulte",,"€ 37€ 31
-15 %"
Be My Guest Athens,"Thisseio, Athènes",Chambre Double Économique,1 lit double,"8,7",459 expériences vécues,"1 nuit, 1 adulte",,€ 86
Athenaeum Grand Hotel,"Kallithéa, Athènes",Chambre Deluxe Double ou Lits Jumeaux,2 lits simples,"8,1",1 055 expériences vécues,"1 nuit, 1 adulte",,€ 88
Raise Boutique Rooms in the Center of Athens,"Psyrí, Athènes",Studio Lit King-Size Deluxe,1 grand lit double,"8,5",902 expériences vécues,"1 nuit, 1 adulte",,"€ 78€ 74
-5 %"
Ilisia Hotel Athens,"Ilisia, Athènes",Chambre Simple,1 lit simple,"8,5",699 expériences vécues,"1 nuit, 1 adulte",,€ 94
LUX&EASY Athens Downtown Apartments,Athènes,Appartement 1 Chambre,"2 lits (1 très grand lit double, 1 canapé-lit)","9,3",884 expériences vécues,"1 nuit, 1 adulte",,"€ 113€ 77
-32 %"
Delphi Art Hotel,"Athens City Centre, Athènes",Chambre Double,Plusieurs types de lits,"7,8",1 134 expériences vécues,"1 nuit, 1 adulte",,€ 44
L7 Str Athens - Luxury Boutique Collection,"Athens City Centre, Athènes",Chambre Confortable,1 grand lit double,"9,2",384 expériences vécues,"1 nuit, 1 adulte",,"€ 234€ 175
-25 %"
Apollo Palm Hotel,"Psyrí, Athènes",Chambre Confortable,1 grand lit double,"8,5",580 expériences vécues,"1 nuit, 1 adulte",,"€ 151€ 114
-25 %"
2 BD Top Floor Aprt with Acropolis view,"Néos Kósmos, Athènes",Penthouse,"4 lits (2 lits simples, 1 très grand lit double, 1 canapé-lit)","9,5",6 expériences vécues,"1 nuit, 1 adulte",,"€ 230€ 214
-7 %"
Gèa Athenian Suites,"Néos Kósmos, Athènes",Appartement 1 Chambre,1 lit double,"9,0",26 expériences vécues,"1 nuit, 1 adulte",,"€ 108€ 99
-9 %"
Elliot,"Exárcheia, Athènes",Appartement 1 Chambre avec Balcon,"2 lits (1 canapé-lit, 1 grand lit double)","9,0",37 expériences vécues,"1 nuit, 1 adulte",,"€ 214€ 196
-8 %"
NEW 2BD Apt with Shared Rooftop Pool and Private ParkIng,"Kallithéa, Athènes",Appartement 2 Chambres,"2 lits (1 lit double, 1 grand lit double)","8,1",17 expériences vécues,"1 nuit, 1 adulte",,"€ 169€ 158
-7 %"
Apeiron Acropolis Suites,"Psyrí, Athènes",Suite Lit Queen-Size Deluxe,"2 lits (1 canapé-lit, 1 grand lit double)","8,8",83 expériences vécues,"1 nuit, 1 adulte",,"€ 151€ 107
-30 %"
