Nom_Hotel,Adresse,Nom_Suite,Services,Note,Nbr_Experiences,Periode,Date,Prix
Apartments Magnolija - Zagreb Centre,"Upper Town – Medvescak, Zagreb",Appartement Standard - 2a Rue Petrova,"3 lits (2 canapés-lits, 1 grand lit double)","8,8",77 expériences vécues,"1 nuit, 1 adulte",,€ 91
Hotel Blue,Zagreb,Chambre Triple Standard,Plusieurs types de lits,"7,9",1 943 expériences vécues,"1 nuit, 1 adulte",,€ 154
Rooms Indigo Bundek,"Novi Zagreb, Zagreb",Chambre Double,Hébergement géré par un particulier,"9,3",255 expériences vécues,"1 nuit, 1 adulte",,€ 70
The Place Apartments Hebrangova,"Lower Town, Zagreb",Studio Lit King-Size Deluxe,Hébergement géré par un particulier,"8,4",294 expériences vécues,"1 nuit, 1 adulte",,€ 129
Deluxe Apartments Zagreb,"Maksimir, Zagreb",Studio,Hébergement géré par un particulier,"9,2",327 expériences vécues,"1 nuit, 1 adulte",,€ 68
Apartman Stoosova Deluxe,"Maksimir, Zagreb",Appartement 2 Chambres,Hébergement géré par un particulier,"8,8",217 expériences vécues,"1 nuit, 1 adulte",,€ 105
Apartments ABA Zagreb,"Lower Town, Zagreb",Studio,Hébergement géré par un particulier,"8,8",314 expériences vécues,"1 nuit, 1 adulte",,€ 70
Happy Guest Apartment Zagreb,"Lower Town, Zagreb",Appartement avec Balcon,Hébergement géré par un particulier,"9,7",74 expériences vécues,"1 nuit, 1 adulte",,€ 59
Apartment Poljak,"Lower Town, Zagreb",Appartement,Hébergement géré par un particulier,"9,2",95 expériences vécues,"1 nuit, 1 adulte",,€ 60
Bona Fide Main Square Designer Apartments,"Lower Town, Zagreb",Studio Lit King-Size Deluxe,1 très grand lit double,"9,3",182 expériences vécues,"1 nuit, 1 adulte",,€ 68
Paon Boutique Apartments,"Upper Town – Medvescak, Zagreb",Studio,"2 lits (1 très grand lit double, 1 canapé-lit)","9,1",549 expériences vécues,"1 nuit, 1 adulte",,€ 117
Forty Two Block A,Zagreb,Chambre Lit King-Size avec Balcon,1 grand lit double,"8,7",54 expériences vécues,"1 nuit, 1 adulte",,"€ 65€ 59
-10 %"
Ilica Luxury Center,"Lower Town, Zagreb",Chambre Double Deluxe,1 très grand lit double,"8,9",413 expériences vécues,"1 nuit, 1 adulte",,€ 120
Bumblebee Luxury Apartments 2,"Lower Town, Zagreb",Studio,1 grand lit double,"9,3",418 expériences vécues,"1 nuit, 1 adulte",,"€ 100€ 92
-8 %"
SIA Downtown Apartments,"Lower Town, Zagreb",Studio,Hébergement géré par un particulier,"8,5",753 expériences vécues,"1 nuit, 1 adulte",,€ 65
Studio apartment Frano,"Lower Town, Zagreb",Appartement 1 Chambre,Hébergement géré par un particulier,"9,8",71 expériences vécues,"1 nuit, 1 adulte",,€ 62
Apartment Mavero-Free Private Parking,Zagreb,Chambre Lit King-Size Supérieure,1 grand lit double,"9,5",589 expériences vécues,"1 nuit, 1 adulte",,€ 65
Apartments Mateo,"Maksimir, Zagreb",Studio,2 lits simples,"9,5",355 expériences vécues,"1 nuit, 1 adulte",,€ 45
Hostel Moving,Zagreb,Chambre Lits Jumeaux,2 lits simples,"8,6",620 expériences vécues,"1 nuit, 1 adulte",,€ 67
