Titre,Avis,Type,Price,Ville
 Cafe Brasserie Meuwese,315 avis,"Hollandaise, Bar",€€-€€€,Amsterdam
 Gauchos - Spuistraat,551 avis,"Steakhouse, Européenne",€€-€€€,Amsterdam
 Taiko Cuisine,443 avis,"Japonaise, Sushi",€€€€,Amsterdam
 Vegan Junk Food Bar - DE PIJP,180 avis,"Restauration rapide, Internationale",€,Amsterdam
 Kapitein Zeppos,351 avis,"Bar, Européenne",€€-€€€,Amsterdam
 Den Burgh,453 avis,"Hollandaise, Fruits de mer et poisson",€€-€€€,Amsterdam
 Brouwerij Troost de Pijp,306 avis,"Bar, Européenne",€€-€€€,Amsterdam
 Maenaam Thai Restaurant,280 avis,"Fruits de mer et poisson, Asiatique",€€-€€€,Amsterdam
 Restaurant Rossini (Saturnino),878 avis,"Italienne, Pizza",€€-€€€,Amsterdam
 Het Elfde Gebod,147 avis,Bar,€€-€€€,Amsterdam
 The Old Bell,507 avis,"Bar, Européenne",€€-€€€,Amsterdam
 Effe Anders,181 avis,"Française, Hollandaise",€€-€€€,Amsterdam
 Cafe P96,254 avis,"Hollandaise, Bar",€,Amsterdam
 Mata Hari,548 avis,"Hollandaise, Bar",€€-€€€,Amsterdam
 Burgermeester,619 avis,"Américaine, Restauration rapide",€,Amsterdam
 Royal Thai Restaurant,504 avis,"Asiatique, Thaï",€€-€€€,Amsterdam
 La Oliva,842 avis,"Méditerranéenne, Européenne",€€-€€€,Amsterdam
 Restaurant Mario,327 avis,"Italienne, Fruits de mer et poisson",€€€€,Amsterdam
 Himalayan Kitchen,192 avis,"Indienne, Asiatique",€€-€€€,Amsterdam
 The Pancake Bakery,4 868 avis,"Hollandaise, Européenne",€€-€€€,Amsterdam
 Harlem Soul Food,332 avis,"Bar, Européenne",€€-€€€,Amsterdam
 Pasta Factory,807 avis,"Italienne, Méditerranéenne",€€-€€€,Amsterdam
 Sapore Italiano,311 avis,"Italienne, Pizza",€€-€€€,Amsterdam
 Cafe Kale B.V.,268 avis,"Hollandaise, Bar",€€-€€€,Amsterdam
 Grand Cafe Krasnapolsky,411 avis,"Française, Hollandaise",€€-€€€,Amsterdam
 Restaurant Bleu,558 avis,Française,€€-€€€,Amsterdam
 Momenti - Italian Cuisine,127 avis,"Italienne, Méditerranéenne",€€-€€€,Amsterdam
 Lagom Cafe,88 avis,"Hollandaise, Café",€€-€€€,Amsterdam
 Tapas Bar Catala,535 avis,"Méditerranéenne, Européenne",€€-€€€,Amsterdam
