Titre,Avis,Type,Price
 de Bijenkorf Kitchen Amsterdam,475 avis,"Italienne, Internationale",€€-€€€
 Tashi Deleg,236 avis,"Indonésienne, Tibétaine",€€-€€€
 Mchi Food & Drinks,191 avis,"Fruits de mer et poisson, Sushi",€€-€€€
 Sham Restaurant,60 avis,"Méditerranéenne, Moyen-Orient",€€-€€€
 Louis,184 avis,"Hollandaise, Bar",€€-€€€
 Auberge Jean & Marie,197 avis,"Française, Européenne",€€-€€€
 Gourmet Bar Restaurant,157 avis,Internationale,€€-€€€
 Lion Noir,541 avis,Européenne,€€-€€€
 Le Pain Quotidien,542 avis,"Café, Européenne",€€-€€€
 Bierfabriek Amsterdam,1 222 avis,"Bar à bières, Hollandaise",€€-€€€
 Loetje Amsterdam Café,1 817 avis,"Steakhouse, Hollandaise",€€-€€€
 Café Brecht,156 avis,"Hollandaise, Bar",€€-€€€
 BAK restaurant,306 avis,"Hollandaise, Internationale",€€€€
" Bellezza, The Restaurant",64 avis,"Internationale, Européenne",€€€€
 LA BOCA,542 avis,"Steakhouse, Latino",€€-€€€
 Hard Rock Cafe,9 059 avis,"Américaine, Barbecue/Grillades",€€-€€€
 Van Dobben,728 avis,"Hollandaise, Restauration rapide",€
 Cafe Brakke,83 avis,"Bar, Café",€€-€€€
 Casa Di Sergio,581 avis,"Italienne, Pizza",€€-€€€
 Cafe Restaurant Aaltje,163 avis,"Hollandaise, Bar",€€-€€€
 Bistro Baret,111 avis,"Hollandaise, Fruits de mer et poisson",€€-€€€
 Toko Pandora,184 avis,"Asiatique, Indonésienne",€
 Spaghetteria Amsterdam Jan Hanzenstraat,270 avis,"Italienne, Fruits de mer et poisson",€€-€€€
 Le Pain Quotidien,302 avis,"Café, Européenne",€€-€€€
 Bella Roma Amsterdam,143 avis,"Italienne, Européenne",€€-€€€
 Ali Ocakbaşı,616 avis,"Méditerranéenne, Barbecue/Grillades",€€-€€€
 CHANG-I,269 avis,"Chinoise, Asiatique",€€€€
 Restaurant Mappa,356 avis,"Italienne, Méditerranéenne",€€-€€€
 Ramen-Ya Amsterdam,938 avis,"Japonaise, Asiatique",€€-€€€
 Tibetaanse restaurant Tibet,548 avis,"Chinoise, Asiatique",€€-€€€
 Risto Enoteca PepeNero,149 avis,"Italienne, Fruits de mer et poisson",€€-€€€
 Cafe St. George,337 avis,"Steakhouse, Barbecue/Grillades",€€-€€€
 Guru Restaurant,112 avis,"Indienne, Asiatique",€€-€€€
 Bar Baut,249 avis,"Hollandaise, Internationale",€€-€€€
 Cafe Nassau,162 avis,-,Menu
